term_str,PC0,PC1,PC2,PC3,PC4
1932,-7.928414555518232e-06,-1.3576932814116903e-05,-1.7396337793243522e-05,-1.5298875400163303e-05,7.386564149070605e-07
1945,-1.1991314478701353e-05,-1.919711303963796e-05,-2.8112479443666467e-05,-3.0208678337732173e-05,7.956372495115524e-06
1966,-6.14860982919968e-06,-1.0383340289635185e-05,-1.2227400575357696e-05,-9.6991781550786e-06,1.1494490171491839e-06
1967,-4.115492097239195e-06,-7.376959731791678e-06,-9.64373826616412e-06,-1.1965423326096936e-05,4.357407002055184e-06
1993,-6.9330134975671975e-06,-1.1269013116883966e-05,-1.567677891901671e-05,-5.395581578946012e-06,4.849045299738709e-07
2,-0.00010433321425956356,-0.00017996827311091775,-0.0002873019179402114,-0.00010635403014633777,-0.0004587386507352127
20,-1.7203867314280817e-05,-2.96275348522312e-05,-4.406576224277032e-05,-3.187666541441155e-05,-5.711032578868317e-05
200,-7.928414555518232e-06,-1.3576932814116903e-05,-1.7396337793243522e-05,-1.5298875400163303e-05,7.386564149070605e-07
21,-1.1991314478701353e-05,-1.919711303963796e-05,-2.8112479443666467e-05,-3.0208678337732173e-05,7.956372495115524e-06
220,-7.928414555518232e-06,-1.3576932814116903e-05,-1.7396337793243522e-05,-1.5298875400163303e-05,7.386564149070605e-07
230,-4.115492097239195e-06,-7.376959731791678e-06,-9.64373826616412e-06,-1.1965423326096936e-05,4.357407002055184e-06
240,-7.928414555518232e-06,-1.3576932814116903e-05,-1.7396337793243522e-05,-1.5298875400163303e-05,7.386564149070605e-07
250,-1.1991314478701353e-05,-1.919711303963796e-05,-2.8112479443666467e-05,-3.0208678337732173e-05,7.956372495115524e-06
27,-9.645741042460578e-06,-1.596537285183707e-05,-2.0575159724584228e-05,-1.1130128108385367e-05,1.2050913478848394e-06
270,-1.5856829111036465e-05,-2.7153865628233805e-05,-3.4792675586487044e-05,-3.0597750800326606e-05,1.477312829814121e-06
3,-3.192676836363643e-05,-5.462888816109289e-05,-8.209465389643578e-05,1.8344671195823396e-06,-7.087138959911139e-05
300,-1.540359394216351e-05,-2.660414288877474e-05,-4.2365965665798056e-05,-2.7932487335901884e-05,-7.819209070760195e-05
3000,-1.4687821465314784e-05,-2.416595794897817e-05,-3.35559475495427e-05,-3.3555015907957134e-05,6.411283609670435e-06
300000,-4.115492097239195e-06,-7.376959731791678e-06,-9.64373826616412e-06,-1.1965423326096936e-05,4.357407002055184e-06
31,-4.115492097239195e-06,-7.376959731791678e-06,-9.64373826616412e-06,-1.1965423326096936e-05,4.357407002055184e-06
311382,-9.087054360649138e-05,0.0002693627619092447,2.3540349416310747e-05,5.853475398129245e-06,-8.025388520734566e-07
32,-8.23098419447839e-06,-1.4753919463583356e-05,-1.928747653232824e-05,-2.3930846652193872e-05,8.714814004110368e-06
33,-8.23098419447839e-06,-1.4753919463583356e-05,-1.928747653232824e-05,-2.3930846652193872e-05,8.714814004110368e-06
33rd,-4.115492097239195e-06,-7.376959731791678e-06,-9.64373826616412e-06,-1.1965423326096936e-05,4.357407002055184e-06
4,-2.5858671943235145e-05,-4.368568264005105e-05,-5.8491587742498984e-05,-3.73247010667972e-05,-3.5009147545391266e-05
40,-1.958191392886987e-05,-3.57489343397216e-05,-3.380734987070961e-05,0.00015555558218695537,7.20979293722429e-05
430,-1.3516313335302705e-05,-2.3471221706768873e-05,-2.5632080018991468e-05,-2.161327764364611e-05,4.806315293169928e-08
